LED,V0 M2
/Verde/100%.csv,-0.2900240437
e/Verde/20%.csv,-0.3964557195
e/Verde/80%.csv,-0.2827481673
e/Verde/60%.csv,-0.3040748673
e/Verde/40%.csv,-0.322756161
e/Azul/100%.csv,-0.277614519
de/Azul/20%.csv,-0.2042435121
de/Azul/80%.csv,-0.2281475703
de/Azul/60%.csv,-0.2173687409
de/Azul/40%.csv,-0.2048312849
marelo/100%.csv,-0.2215706673
Amarelo/20%.csv,-0.1958273005
Amarelo/80%.csv,-0.2258813816
Amarelo/60%.csv,-0.1948377986
Amarelo/40%.csv,-0.1800829136
rmelho/100%.csv,-0.1308944904
ermelho/20%.csv,-0.1831437119
ermelho/80%.csv,-0.1690707316
ermelho/60%.csv,-0.1347584324
ermelho/40%.csv,-0.1384083443
ioleta/100%.csv,-0.5864320854
Violeta/20%.csv,-0.4898096953
Violeta/80%.csv,-0.634467193
Violeta/60%.csv,-0.628845455
Violeta/40%.csv,-0.6276539202
